Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Nombre
2018,1,Ciutat Vella,1,el Raval,Home,Espanya,11732
2018,1,Ciutat Vella,2,el Barri GÃ²tic,Home,Espanya,4214
2018,1,Ciutat Vella,3,la Barceloneta,Home,Espanya,4607
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,Espanya,6235
2018,2,Eixample,5,el Fort Pienc,Home,Espanya,11532
2018,2,Eixample,6,la Sagrada FamÃ­lia,Home,Espanya,18692
2018,2,Eixample,7,la Dreta de l'Eixample,Home,Espanya,15761
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,Espanya,15241
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,Espanya,21884
2018,2,Eixample,10,Sant Antoni,Home,Espanya,13915
2018,3,Sants-MontjuÃ¯c,11,el Poble Sec,Home,Espanya,12996
2018,3,Sants-MontjuÃ¯c,12,la Marina del Prat Vermell,Home,Espanya,552
2018,3,Sants-MontjuÃ¯c,13,la Marina de Port,Home,Espanya,12527
2018,3,Sants-MontjuÃ¯c,14,la Font de la Guatlla,Home,Espanya,3862
2018,3,Sants-MontjuÃ¯c,15,Hostafrancs,Home,Espanya,5763
2018,3,Sants-MontjuÃ¯c,16,la Bordeta,Home,Espanya,7651
2018,3,Sants-MontjuÃ¯c,17,Sants - Badal,Home,Espanya,9214
2018,3,Sants-MontjuÃ¯c,18,Sants,Home,Espanya,15761
2018,4,Les Corts,19,les Corts,Home,Espanya,18848
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Home,Espanya,9796
2018,4,Les Corts,21,Pedralbes,Home,Espanya,4621
2018,5,SarriÃ -Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,Espanya,2005
2018,5,SarriÃ -Sant Gervasi,23,SarriÃ ,Home,Espanya,10088
2018,5,SarriÃ -Sant Gervasi,24,les Tres Torres,Home,Espanya,7073
2018,5,SarriÃ -Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,Espanya,10502
2018,5,SarriÃ -Sant Gervasi,26,Sant Gervasi - Galvany,Home,Espanya,18853
2018,5,SarriÃ -Sant Gervasi,27,el Putxet i el FarrÃ³,Home,Espanya,11639
2018,6,GrÃ cia,28,Vallcarca i els Penitents,Home,Espanya,6251
2018,6,GrÃ cia,29,el Coll,Home,Espanya,2953
2018,6,GrÃ cia,30,la Salut,Home,Espanya,5208
2018,6,GrÃ cia,31,la Vila de GrÃ cia,Home,Espanya,17940
2018,6,GrÃ cia,32,el Camp d'en Grassot i GrÃ cia Nova,Home,Espanya,13522
2018,7,Horta-GuinardÃ³,33,el Baix GuinardÃ³,Home,Espanya,10137
2018,7,Horta-GuinardÃ³,34,Can BarÃ³,Home,Espanya,3617
2018,7,Horta-GuinardÃ³,35,el GuinardÃ³,Home,Espanya,14699
2018,7,Horta-GuinardÃ³,36,la Font d'en Fargues,Home,Espanya,4201
2018,7,Horta-GuinardÃ³,37,el Carmel,Home,Espanya,12817
2018,7,Horta-GuinardÃ³,38,la Teixonera,Home,Espanya,4810
2018,7,Horta-GuinardÃ³,39,Sant GenÃ­s dels Agudells,Home,Espanya,2840
2018,7,Horta-GuinardÃ³,40,Montbau,Home,Espanya,2005
2018,7,Horta-GuinardÃ³,41,la Vall d'Hebron,Home,Espanya,2465
2018,7,Horta-GuinardÃ³,42,la Clota,Home,Espanya,288
2018,7,Horta-GuinardÃ³,43,Horta,Home,Espanya,11116
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Home,Espanya,10111
2018,8,Nou Barris,45,Porta,Home,Espanya,9858
2018,8,Nou Barris,46,el TurÃ³ de la Peira,Home,Espanya,5582
2018,8,Nou Barris,47,Can Peguera,Home,Espanya,958
2018,8,Nou Barris,48,la Guineueta,Home,Espanya,6531
2018,8,Nou Barris,49,Canyelles,Home,Espanya,3116
2018,8,Nou Barris,50,les Roquetes,Home,Espanya,5980
2018,8,Nou Barris,51,Verdun,Home,Espanya,4645
2018,8,Nou Barris,52,la Prosperitat,Home,Espanya,10544
2018,8,Nou Barris,53,la Trinitat Nova,Home,Espanya,2726
2018,8,Nou Barris,54,Torre BarÃ³,Home,Espanya,1187
2018,8,Nou Barris,55,Ciutat Meridiana,Home,Espanya,3548
2018,8,Nou Barris,56,Vallbona,Home,Espanya,593
2018,9,Sant Andreu,57,la Trinitat Vella,Home,Espanya,3503
2018,9,Sant Andreu,58,BarÃ³ de Viver,Home,Espanya,1075
2018,9,Sant Andreu,59,el Bon Pastor,Home,Espanya,5323
2018,9,Sant Andreu,60,Sant Andreu,Home,Espanya,24997
2018,9,Sant Andreu,61,la Sagrera,Home,Espanya,11913
2018,9,Sant Andreu,62,el CongrÃ©s i els Indians,Home,Espanya,5607
2018,9,Sant Andreu,63,Navas,Home,Espanya,8795
2018,10,Sant MartÃ­,64,el Camp de l'Arpa del Clot,Home,Espanya,14718
2018,10,Sant MartÃ­,65,el Clot,Home,Espanya,10923
2018,10,Sant MartÃ­,66,el Parc i la Llacuna del Poblenou,Home,Espanya,5681
2018,10,Sant MartÃ­,67,la Vila OlÃ­mpica del Poblenou,Home,Espanya,3776
2018,10,Sant MartÃ­,68,el Poblenou,Home,Espanya,13346
2018,10,Sant MartÃ­,69,Diagonal Mar i el Front MarÃ­tim del Poblenou,Home,Espanya,5383
2018,10,Sant MartÃ­,70,el BesÃ²s i el Maresme,Home,Espanya,8113
2018,10,Sant MartÃ­,71,ProvenÃ§als del Poblenou,Home,Espanya,8441
