"Nom_variable","Codi_resposta","Text_resposta"
"Barri",1,"el Raval"
"Barri",2,"el Barri Gòtic"
"Barri",3,"la Barceloneta"
"Barri",4,"Sant Pere, Santa Caterina i la Ribera"
"Barri",5,"el Fort Pienc"
"Barri",6,"la Sagrada Família"
"Barri",7,"la Dreta de l'Eixample"
"Barri",8,"l'Antiga Esquerra de l'Eixample"
"Barri",9,"la Nova Esquerra de l'Eixample"
"Barri",10,"Sant Antoni"
"Barri",11,"el Poble Sec"
"Barri",12,"la Marina del Prat Vermell"
"Barri",13,"la Marina de Port"
"Barri",14,"la Font de la Guatlla"
"Barri",15,"Hostafrancs"
"Barri",16,"la Bordeta"
"Barri",17,"Sants - Badal"
"Barri",18,"Sants"
"Barri",19,"les Corts"
"Barri",20,"la Maternitat i Sant Ramon"
"Barri",21,"Pedralbes"
"Barri",22,"Vallvidrera, el Tibidabo i les Planes"
"Barri",23,"Sarrià"
"Barri",24,"les Tres Torres"
"Barri",25,"Sant Gervasi - la Bonanova"
"Barri",26,"Sant Gervasi - Galvany"
"Barri",27,"el Putxet i el Farró"
"Barri",28,"Vallcarca i els Penitents"
"Barri",29,"el Coll"
"Barri",30,"la Salut"
"Barri",31,"la Vila de Gràcia"
"Barri",32,"el Camp d'en Grassot i Gràcia Nova"
"Barri",33,"el Baix Guinardó"
"Barri",34,"Can Baró"
"Barri",35,"el Guinardó"
"Barri",36,"la Font d'en Fargues"
"Barri",37,"el Carmel"
"Barri",38,"la Teixonera"
"Barri",39,"Sant Genís dels Agudells"
"Barri",40,"Montbau"
"Barri",41,"la Vall d'Hebron"
"Barri",42,"la Clota"
"Barri",43,"Horta"
"Barri",44,"Vilapicina i la Torre Llobeta"
"Barri",45,"Porta"
"Barri",46,"el Turó de la Peira"
"Barri",47,"Can Peguera"
"Barri",48,"la Guineueta"
"Barri",49,"Canyelles"
"Barri",50,"les Roquetes"
"Barri",51,"Verdun"
"Barri",52,"la Prosperitat"
"Barri",53,"la Trinitat Nova"
"Barri",54,"Torre Baró"
"Barri",55,"Ciutat Meridiana"
"Barri",56,"Vallbona"
"Barri",57,"la Trinitat Vella"
"Barri",58,"Baró de Viver"
"Barri",59,"el Bon Pastor"
"Barri",60,"Sant Andreu"
"Barri",61,"la Sagrera"
"Barri",62,"el Congrés i els Indians"
"Barri",63,"Navas"
"Barri",64,"el Camp de l'Arpa del Clot"
"Barri",65,"el Clot"
"Barri",66,"el Parc i la Llacuna del Poblenou"
"Barri",67,"la Vila Olímpica del Poblenou"
"Barri",68,"el Poblenou"
"Barri",69,"Diagonal Mar i el Front Marítim del Poblenou"
"Barri",70,"el Besòs i el Maresme"
"Barri",71,"Provençals del Poblenou"
"Barri",72,"Sant Martí de Provençals"
"Barri",73,"la Verneda i la Pau"
"Districte",1,"Ciutat Vella"
"Districte",2,"Eixample"
"Districte",3,"Sants - Montjuïc"
"Districte",4,"Les Corts"
"Districte",5,"Sarrià - Sant Gervasi"
"Districte",6,"Gràcia"
"Districte",7,"Horta - Guinardó"
"Districte",8,"Nou Barris"
"Districte",9,"Sant Andreu"
"Districte",10,"Sant Martí"
"EDAT",1,"De 16 a 24 anys"
"EDAT",2,"De 25 a 34 anys"
"EDAT",3,"De 35 a 44 anys"
"EDAT",4,"De 45 a 54 anys"
"EDAT",5,"De 55 a 64 anys"
"EDAT",6,"De 65 a 74 anys"
"EDAT",7,"De 75 anys o més"
"F1",1,"Sí"
"F1",2,"No"
"F2",1,"Sí"
"F2",2,"No"
"ID10",1,"Sense estudis obligatoris acabats"
"ID10",2,"Obligatoris"
"ID10",3,"Post obligatoris"
"ID10",4,"Post obligatoris professionals"
"ID10",5,"Universitaris"
"ID10",98,"No ho sap"
"ID10",99,"No contesta"
"ID11",1,"Sí"
"ID11",2,"No"
"ID4",1,"Espanyola"
"ID4",2,"Espanyola i altres"
"ID4",3,"Estrangera"
"ID5",1,"Ocupada"
"ID5",2,"Aturada"
"ID5",3,"Jubilada / Pensionista"
"ID5",4,"Tasques no remunerades"
"ID5",5,"Estudiant"
"ID5",99,"No contesta"
"ID7",1,"Unipersonal"
"ID7",2,"Multipersonal sense nucli"
"ID7",3,"Nuclear, en parella, sense fills"
"ID7",4,"Nuclear, en parella amb fills"
"ID7",5,"Nuclear, monoparental amb fills"
"ID7",6,"Nuclear 3 generacions"
"ID9_rec",1,"Sí"
"ID9_rec",2,"No"
"P1",1,"Sí"
"P1",2,"No"
"P1",98,"No ho sap"
"P1",99,"No contesta"
"P10",1,"Sí"
"P10",2,"No"
"P10",3,"No hi ha cap menor de 16 anys escolaritzat "
"P10B_1",1,"No tenim dispositius suficients"
"P10B_2",2,"No tenim bona connexió"
"P10B_3",3,"No tenim temps per fer el seguiment dels fills"
"P10B_4",4,"No tenim la formació necessària"
"P10B_5",5,"L'escola no ha ofert educació on line"
"P10B_6",6,"És massa petit"
"P10B_95",95,"Altres respostes"
"P10B_98",98,"No ho sap"
"P10B_99",99,"No contesta"
"P11_0",0,"No he realitzat cap tipus de formació"
"P11_1",1,"Formació reglada"
"P11_2",2,"Formació no reglada"
"P11_3",3,"Formació laboral"
"P11_4",4,"Formació complementària"
"P11_5",5,"Formació per lleure"
"P11_98",98,"No ho sap"
"P11_99",99,"No contesta"
"P11B",1,"Sí"
"P11B",2,"No"
"P11C_1",1,"No tinc recursos per pagar la formació"
"P11C_2",2,"No sé com accedir a aquesta formació"
"P11C_3",3,"No tinc dispositius adequats"
"P11C_4",4,"No tinc bona connexió"
"P11C_5",5,"No tinc temps"
"P11C_6",6,"No m’he sentit amb ganes"
"P11C_95",95,"Altres respostes"
"P11C_98",98,"No ho sap"
"P11C_99",99,"No contesta"
"P12",0,"No ho conec"
"P12",1,"En tinc coneixement però no ho he fet servir mai"
"P12",2,"En tinc coneixement i ho he fet servir"
"P13",1,"Sí"
"P13",2,"No, no ho conec, però m'interessa"
"P13",3,"No, no m'interessa"
"P13B_1",1,"Per consultar informació"
"P13B_2",2,"Per votar propostes"
"P13B_3",3,"Per debatre qüestions"
"P13B_4",4,"En grans temes de ciutat"
"P13B_5",5,"En petites coses de barri que m'afecten"
"P13B_98",98,"No ho sap"
"P13B_99",99,"No contesta"
"P14",1,"Sí"
"P14",2,"No"
"P14_1cod",1,"Ulleres"
"P14_1cod",2,"Audifons"
"P14_1cod",3,"Altres"
"P14_1cod",98,"No sap"
"P14_1cod",99,"No contesta"
"P14_2cod",1,"Manca de recursos econòmics"
"P14_2cod",2,"Impediment físic o psíquic"
"P14_2cod",3,"No li fan falta"
"P14_2cod",4,"Altres"
"P14_2cod",98,"No ho sap"
"P14_2cod",99,"No contesta"
"P1A",1,"ADSL/VDSL / SDSL"
"P1A",2,"Fibra òptica"
"P1A",3,"Híbrid de fibra i coaxial (HFC)"
"P1A",4,"Internet radio/4G"
"P1A",95,"Altres sistemes"
"P1A",98,"No ho sap"
"P1A",99,"No contesta"
"P1B",1,"No arriba ni la fibra ni ADSL/VDSL/SDSL/4G"
"P1B",2,"No em puc permetre pagar la connexió"
"P1B",3,"No tinc dispositius que es puguin connectar"
"P1B",4,"No cal, em connecto mitjançant el mòbil/tauleta"
"P1B",6,"No cal ja que no utilitzo internet"
"P1B",7,"No sé utilitzar internet"
"P1B",51,"No cal, em connecto mitjançant les xarxes d'altres llocs, majoritàriament xarxes públiques"
"P1B",52,"No cal, em connecto mitjançant les xarxes d'altres llocs, majoritàriament xarxes privades"
"P1B",95,"Altres respostes"
"P1B",98,"No ho sap"
"P1B",99,"No contesta"
"P2",1,"Sí"
"P2",2,"No"
"P2",98,"No ho sap"
"P2",99,"No contesta"
"P2_1",0,"Cap"
"P2_1",98,"No ho sap"
"P2_1",99,"No contesta"
